iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program
10,30,10,nloptwrap_nAGQ1,994.1423988427928,0.7648913952255835,0.9077470144538056,1.7495670318603516,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
10,30,10,JuliaAIC_NeldMeader_AGP0,994.1652963524261,0.7737774182127026,0.9262291454530986,4.298,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
10,30,10,JuliaAIC_bobyqa_AGP0,994.1652968635369,0.7737500748139953,0.9260560803715111,0.406,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
10,30,10,JuliaAIC_NeldMeader_AGP1,995.0937630752095,0.6389870733793174,0.3926280134641386,8.665,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
10,30,10,JuliaAIC_bobyqa_AGP1,994.1405773180711,0.758992144230997,0.9606253891482509,1.534,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
11,30,10,NelderMead_nAGQ0,953.80634697572,0.43485501875288135,0.8334989129085059,1.45278000831604,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
11,30,10,NelderMead_nAGQ1,953.7845935090477,0.43109622626698085,0.9030347697026988,15.458829164505005,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
11,30,10,Bobyqa_nAGQ0,953.80634697572,0.43485501875288135,0.8334989129085059,1.4447801113128662,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
11,30,10,Bobyqa_nAGQ1,953.784577966698,0.4301136246925865,0.9016295502666241,3.7292537689208984,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
11,30,10,nloptwrap_nAGQ0,954.127970065035,0.4599239260591919,0.7810145328469603,0.8811390399932861,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
11,30,10,nloptwrap_nAGQ1,954.1064800988443,0.4685067225495657,0.8648662992372103,1.9995288848876953,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
11,30,10,JuliaAIC_NeldMeader_AGP0,953.7363395148087,0.4564145945552313,0.859709541708051,13.635,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
11,30,10,JuliaAIC_bobyqa_AGP0,953.8039709700447,0.4347210223551005,0.8327315210320377,0.406,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
11,30,10,JuliaAIC_NeldMeader_AGP1,953.717356099779,0.4317811884376526,0.8696716570331061,9.252,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
11,30,10,JuliaAIC_bobyqa_AGP1,953.7174292511232,0.42919325124034335,0.8596207079067179,1.359,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
12,30,10,NelderMead_nAGQ0,976.466798328398,0.8086317548357944,0.8355148434407874,2.4525139331817627,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
12,30,10,NelderMead_nAGQ1,976.4280194652179,0.8597055761196173,0.890875386230251,8.251000165939331,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
12,30,10,Bobyqa_nAGQ0,976.466798328398,0.8086317548357944,0.8355148434407874,2.533829927444458,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
12,30,10,Bobyqa_nAGQ1,976.428016285962,0.8597250939804225,0.8899707295230821,5.157142162322998,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
12,30,10,nloptwrap_nAGQ0,976.7513872962955,0.7995514142173328,0.861452157955858,0.7943379878997803,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
12,30,10,nloptwrap_nAGQ1,976.7152994800557,0.8229645550926808,0.9034111425967665,1.8822028636932373,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
12,30,10,JuliaAIC_NeldMeader_AGP0,976.4589457521752,0.8084814026688322,0.837195989770465,9.191,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
12,30,10,JuliaAIC_bobyqa_AGP0,976.7432516328641,0.7992878287694858,0.8637057301680297,0.359,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
12,30,10,JuliaAIC_NeldMeader_AGP1,976.4717121651965,0.9744501082595063,0.8634861029802016,14.694,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
12,30,10,JuliaAIC_bobyqa_AGP1,976.4741187118912,0.9934271098649458,0.9549040213276752,2.405,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
13,30,10,NelderMead_nAGQ0,1021.971807885764,0.6528666907920951,0.1498966296506313,1.4371581077575684,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
13,30,10,NelderMead_nAGQ1,1021.9578404849095,0.6950938917782089,0.3492355377014721,4.546009063720703,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
13,30,10,Bobyqa_nAGQ0,1021.971807885764,0.6528666907920951,0.1498966296506313,1.4793999195098877,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
13,30,10,Bobyqa_nAGQ1,1021.9578404658112,0.6950946445363828,0.34925668604377264,3.267216920852661,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
13,30,10,nloptwrap_nAGQ0,1021.9719221059169,0.6541296185597356,0.15070345005982252,0.565601110458374,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
13,30,10,nloptwrap_nAGQ1,1021.9718883217246,0.6961707835293551,0.35349372921612404,1.5323588848114014,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
13,30,10,JuliaAIC_NeldMeader_AGP0,1021.3351662075678,0.6869363697478729,0.20541763335286561,9.238,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
13,30,10,JuliaAIC_bobyqa_AGP0,1021.3351662690712,0.6869290869027204,0.2054087705075883,0.375,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
