,Model,StandardValues,ConditionOfInterest,ID,Repetition,Mean_Modeled,SD_Modeled,AIC,CoefCond,CoefInteract,PvaluesCoI,PvaluesInterac,SECoI,SEInterac,Mean_Actual,SD_Actual,PSE_Difference,JND_Difference,Condition_PSEJND,ActualPSEs,ActualSDs,Condition,AIC_Norm
70,M14,6,0,s18,1,-0.112128851,0.939242664,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.053044797,1.068137311,-0.05,0.125,0.125-0.05,0,0.9,Baseline,-49.64705297
71,M14,7,0,s18,1,-0.139130343,1.076354387,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.061885596,1.246160196,-0.05,0.125,0.125-0.05,0,1.05,Baseline,-49.64705297
72,M14,8,0,s18,1,-0.153738926,1.252485852,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.070726396,1.424183081,-0.05,0.125,0.125-0.05,0,1.2,Baseline,-49.64705297
73,M14,5,0,s19,1,-0.090300812,0.786433513,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.100368443,0.680115618,-0.05,0.125,0.125-0.05,0,0.75,Baseline,-49.64705297
74,M14,6,0,s19,1,-0.119869229,0.932682747,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.120442131,0.816138742,-0.05,0.125,0.125-0.05,0,0.9,Baseline,-49.64705297
75,M14,7,0,s19,1,-0.136070939,1.071069609,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.14051582,0.952161865,-0.05,0.125,0.125-0.05,0,1.05,Baseline,-49.64705297
76,M14,8,0,s19,1,-0.151844311,1.24842023,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.160589508,1.088184989,-0.05,0.125,0.125-0.05,0,1.2,Baseline,-49.64705297
77,M14,5,0,s20,1,-0.306405327,0.782426635,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.283444569,0.654368475,-0.05,0.125,0.125-0.05,0,0.75,Baseline,-49.64705297
78,M14,6,0,s20,1,-0.327542024,0.933044321,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.340133483,0.78524217,-0.05,0.125,0.125-0.05,0,0.9,Baseline,-49.64705297
79,M14,7,0,s20,1,-0.377296598,1.074319323,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.396822396,0.916115865,-0.05,0.125,0.125-0.05,0,1.05,Baseline,-49.64705297
80,M14,8,0,s20,1,-0.437956222,1.252824497,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.45351131,1.04698956,-0.05,0.125,0.125-0.05,0,1.2,Baseline,-49.64705297
81,M14,5,1,s1,1,-0.085185004,0.876144014,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.04408288,1.103762528,-0.05,0.125,0.125-0.05,-0.5,0.9375,Condition of Interest,-49.64705297
82,M14,6,1,s1,1,-0.075739459,1.05903318,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.052899456,1.324515034,-0.05,0.125,0.125-0.05,-0.6,1.125,Condition of Interest,-49.64705297
83,M14,7,1,s1,1,-0.108867701,1.248118354,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.061716032,1.545267539,-0.05,0.125,0.125-0.05,-0.7,1.3125,Condition of Interest,-49.64705297
84,M14,8,1,s1,1,-0.099793194,1.488088516,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.070532608,1.766020045,-0.05,0.125,0.125-0.05,-0.8,1.5,Condition of Interest,-49.64705297
85,M14,5,1,s2,1,-0.720460348,0.864851372,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.765367944,0.871622272,-0.05,0.125,0.125-0.05,-0.5,0.9375,Condition of Interest,-49.64705297
86,M14,6,1,s2,1,-0.87665512,1.056985324,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-0.918441532,1.045946726,-0.05,0.125,0.125-0.05,-0.6,1.125,Condition of Interest,-49.64705297
87,M14,7,1,s2,1,-1.007449691,1.248707371,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-1.071515121,1.220271181,-0.05,0.125,0.125-0.05,-0.7,1.3125,Condition of Interest,-49.64705297
88,M14,8,1,s2,1,-1.21632338,1.488391993,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,-1.22458871,1.394595635,-0.05,0.125,0.125-0.05,-0.8,1.5,Condition of Interest,-49.64705297
89,M14,5,1,s3,1,0.606656191,0.877136288,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.596587413,1.064411273,-0.05,0.125,0.125-0.05,-0.5,0.9375,Condition of Interest,-49.64705297
90,M14,6,1,s3,1,0.745188058,1.053011638,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.715904895,1.277293528,-0.05,0.125,0.125-0.05,-0.6,1.125,Condition of Interest,-49.64705297
91,M14,7,1,s3,1,0.87460292,1.24975876,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.835222378,1.490175783,-0.05,0.125,0.125-0.05,-0.7,1.3125,Condition of Interest,-49.64705297
92,M14,8,1,s3,1,1.062674191,1.493331994,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.954539861,1.703058037,-0.05,0.125,0.125-0.05,-0.8,1.5,Condition of Interest,-49.64705297
93,M14,5,1,s4,1,0.358112423,0.872903779,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.316181548,1.061143348,-0.05,0.125,0.125-0.05,-0.5,0.9375,Condition of Interest,-49.64705297
94,M14,6,1,s4,1,0.468930733,1.064566165,14875.58007,0.518106299,-0.214023888,2.60E-09,0.000198564,0.087000366,0.057520372,0.379417858,1.273372018,-0.05,0.125,0.125-0.05,-0.6,1.125,Condition of Interest,-49.64705297
