iteration,reps,n,label,AIC,Pvalues_Accuracy,Pvalues_Interaction,Duration,ConditionsOfInterest,StandardValue1,StandardValue2,PSE_Difference,JND_Difference,Multiplicator_PSE_Standard,Multiplicator_SD_Standard,SD_ResponseFunction,Mean_Variability_Between,SD_Variability_Between,Program
15,30,10,NelderMead_nAGQ0,919.1662806710881,0.6085337618623827,0.508386351718914,2.8920321464538574,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
15,30,10,NelderMead_nAGQ1,919.1580053412679,0.6070523578354078,0.7068534352664644,7.218448162078857,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
15,30,10,Bobyqa_nAGQ0,919.1662806710881,0.6085337618623827,0.508386351718914,2.9077768325805664,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
15,30,10,Bobyqa_nAGQ1,919.1580051325799,0.6070457930698681,0.7068965585956221,5.199615001678467,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
15,30,10,nloptwrap_nAGQ0,919.120503222123,0.5993237132666959,0.5039069886237844,0.8792328834533691,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
15,30,10,nloptwrap_nAGQ1,919.1204667793866,0.6025320878236513,0.7030813371825458,1.796401023864746,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
15,30,10,JuliaAIC_NeldMeader_AGP0,919.1204508232097,0.545882449802877,0.4410798082955557,7.209,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
15,30,10,JuliaAIC_bobyqa_AGP0,919.1204509236591,0.5458783279712877,0.440822699872531,1.121,2,5,8,0,0,0,0.108,0.1,0.1,0.1,Julia
16,30,10,NelderMead_nAGQ0,954.5129012521553,0.4176831506019316,0.35854791788654017,1.3902649879455566,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
16,30,10,NelderMead_nAGQ1,954.4963685815128,0.4258400390229116,0.4275750961381678,4.547561883926392,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
16,30,10,Bobyqa_nAGQ0,954.5129012521553,0.4176831506019316,0.35854791788654017,1.4006187915802002,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
16,30,10,Bobyqa_nAGQ1,954.4963541426179,0.4255657761892554,0.42762641726922096,3.451327085494995,2,5,8,0,0,0,0.108,0.1,0.1,0.1,R
